UF;NOME DO MUNICÍPIO;country;population;ibgeID
GO;Baliza;Brazil;5138;5203104
SC;Balneário Arroio do Silva;Brazil;13071;4201950
SC;Balneário Barra do Sul;Brazil;10795;4202057
SC;Balneário Camboriú;Brazil;142295;4202008
SC;Balneário Gaivota;Brazil;10979;4202073
SC;Balneário Piçarras;Brazil;23147;4212809
RS;Balneário Pinhal;Brazil;14068;4301636
SC;Balneário Rincão;Brazil;12760;4220000
PR;Balsa Nova;Brazil;12941;4102307
SP;Bálsamo;Brazil;9068;3504800
MA;Balsas;Brazil;94887;2101400
MG;Bambuí;Brazil;23829;3105103
CE;Banabuiú;Brazil;18197;2301851
SP;Bananal;Brazil;10945;3504909
PB;Bananeiras;Brazil;21318;2501500
MG;Bandeira;Brazil;4795;3105202
MG;Bandeira do Sul;Brazil;5746;3105301
SC;Bandeirante;Brazil;2678;4202081
PR;Bandeirantes;Brazil;31367;4102406
MS;Bandeirantes;Brazil;6788;5001508
TO;Bandeirantes do Tocantins;Brazil;3553;1703057
PA;Bannach;Brazil;3286;1501253
BA;Banzaê;Brazil;13229;2902658
RS;Barão;Brazil;6171;4301651
SP;Barão de Antonina;Brazil;3469;3505005
MG;Barão de Cocais;Brazil;32485;3105400
RS;Barão de Cotegipe;Brazil;6623;4301701
MA;Barão de Grajaú;Brazil;18820;2101509
MT;Barão de Melgaço;Brazil;8564;5101605
MG;Barão de Monte Alto;Brazil;5397;3105509
RS;Barão do Triunfo;Brazil;7487;4301750
RN;Baraúna;Brazil;28374;2401453
PB;Baraúna;Brazil;4892;2501534
MG;Barbacena;Brazil;137313;3105608
CE;Barbalha;Brazil;59732;2301901
SP;Barbosa;Brazil;7402;3505104
PR;Barbosa Ferraz;Brazil;11568;4102505
PA;Barcarena;Brazil;124680;1501303
RN;Barcelona;Brazil;3998;2401503
AM;Barcelos;Brazil;27502;1300409
SP;Bariri;Brazil;35264;3505203
BA;Barra;Brazil;53578;2902708
SP;Barra Bonita;Brazil;36126;3505302
SC;Barra Bonita;Brazil;1677;4202099
BA;Barra da Estiva;Brazil;20598;2902807
PI;Barra D'Alcântara;Brazil;3951;2201176
PE;Barra de Guabiraba;Brazil;14385;2601300
PB;Barra de Santa Rosa;Brazil;15384;2501609
PB;Barra de Santana;Brazil;8359;2501575
AL;Barra de Santo Antônio;Brazil;15932;2700508
ES;Barra de São Francisco;Brazil;44650;3200904
PB;Barra de São Miguel;Brazil;6036;2501708
AL;Barra de São Miguel;Brazil;8322;2700607
MT;Barra do Bugres;Brazil;34966;5101704
SP;Barra do Chapéu;Brazil;5724;3505351
BA;Barra do Choça;Brazil;31603;2902906
MA;Barra do Corda;Brazil;88212;2101608
MT;Barra do Garças;Brazil;61012;5101803
RS;Barra do Guarita;Brazil;3248;4301859
PR;Barra do Jacaré;Brazil;2781;4102703
BA;Barra do Mendes;Brazil;13865;2903003
TO;Barra do Ouro;Brazil;4591;1703073
RJ;Barra do Piraí;Brazil;100374;3300308
RS;Barra do Quaraí;Brazil;4215;4301875
RS;Barra do Ribeiro;Brazil;13491;4301909
RS;Barra do Rio Azul;Brazil;1690;4301925
BA;Barra do Rocha;Brazil;5714;2903102
SP;Barra do Turvo;Brazil;7659;3505401
SE;Barra dos Coqueiros;Brazil;30407;2800605
RS;Barra Funda;Brazil;2539;4301958
MG;Barra Longa;Brazil;5131;3105707
RJ;Barra Mansa;Brazil;184412;3300407
SC;Barra Velha;Brazil;29168;4202107
PR;Barracão;Brazil;10275;4102604
RS;Barracão;Brazil;5275;4301800
PI;Barras;Brazil;47066;2201200
CE;Barreira;Brazil;22425;2301950
BA;Barreiras;Brazil;155439;2903201
PI;Barreiras do Piauí;Brazil;3348;2201309
AM;Barreirinha;Brazil;32041;1300508
MA;Barreirinhas;Brazil;62528;2101707
PE;Barreiros;Brazil;42659;2601409
SP;Barretos;Brazil;122098;3505500
SP;Barrinha;Brazil;32812;3505609
CE;Barro;Brazil;22680;2302008
BA;Barro Alto;Brazil;14931;2903235
GO;Barro Alto;Brazil;11167;5203203
PI;Barro Duro;Brazil;7032;2201408
BA;Barro Preto;Brazil;5591;2903300
BA;Barrocas;Brazil;15978;2903276
TO;Barrolândia;Brazil;5632;1703107
CE;Barroquinha;Brazil;15017;2302057
RS;Barros Cassal;Brazil;11199;4302006
MG;Barroso;Brazil;20810;3105905
SP;Barueri;Brazil;274182;3505708
SP;Bastos;Brazil;20953;3505807
MS;Bataguassu;Brazil;23024;5001904
PI;Batalha;Brazil;26857;2201507
AL;Batalha;Brazil;18232;2700706
SP;Batatais;Brazil;62508;3505906
MS;Batayporã;Brazil;11329;5002001
CE;Baturité;Brazil;35750;2302107
SP;Bauru;Brazil;376818;3506003
PB;Bayeux;Brazil;96880;2501807
SP;Bebedouro;Brazil;77496;3506102
CE;Beberibe;Brazil;53573;2302206
CE;Bela Cruz;Brazil;32591;2302305
MS;Bela Vista;Brazil;24629;5002100
PR;Bela Vista da Caroba;Brazil;3511;4102752
GO;Bela Vista de Goiás;Brazil;29975;5203302
MG;Bela Vista de Minas;Brazil;10255;3106002
MA;Bela Vista do Maranhão;Brazil;11209;2101772
